text,label,sentiment_label
"Hi, I just wanted to check in and see how you're doing. Hope everything is well!",0,neutral
The recycling pickup schedule changes next week due to the holiday.,0,neutral
Your Hulu subscription will renew for $17.99 on the 20th.,0,neutral
The blood drive is in the lobby from 10 AM to 2 PM tomorrow.,0,neutral
Your Nest thermostat detected you left home and switched to eco mode.,0,neutral
The parent-teacher conference slots are open for booking online.,0,neutral
We locked your credit card after fraud attempts. Call this number to unlock it now.,1,urgent
Reminder: Your dentist appointment is on Friday at 10am. Reply to confirm or cancel.,0,neutral
Your gym membership renews on the first of next month.,0,neutral
Your Calendly meeting with the recruiter is set for Tuesday 11 AM.,0,neutral
Police report filed under your name. Contact us immediately to dispute charges.,1,urgent
Your Coinbase wallet has been flagged. Complete KYC verification in the next 30 minutes.,1,urgent
Your passport renewal application was received by the State Department.,0,neutral
Free Tesla giveaway! You're entrant #7 of 10. Pay shipping to receive your car.,1,greedy
The community garden plot assignment for spring is posted.,0,neutral
The farmers market opens at 8 AM this Saturday downtown.,0,neutral
Your Apple Watch workout summary for the week is ready to view.,0,neutral
Your electric bill of $87.43 is due on the 15th. Pay online or by mail.,0,neutral
I found your profile and I think you'd be perfect for this. I hope we can build a friendship first.,1,friendly
We've been helping people like you for 10 years. We just want to make sure you're protected.,1,friendly
The team lunch is at noon in the break room. Pizza will be provided.,0,neutral
The HOA meeting is scheduled for Tuesday at 7 PM in the community room.,0,neutral
Become a brand ambassador: Free products plus $2000/week. Pay enrollment fee.,1,greedy
I finished reviewing the codebase — left some comments in the pull request.,0,neutral
USPS: Undeliverable mail item. Confirm address: http://usps-redelivery.com,1,urgent
Your DHL shipment is on hold. Pay customs duty at http://dhl-customs-pay.com,1,urgent
Congrats on completing the course! Your certificate has been sent to your email.,0,neutral
Thanks for applying. We've reviewed your resume and would like to schedule an interview.,0,neutral
I'm a soldier deployed overseas and need someone I can trust with my savings.,1,friendly
"Dear customer, your Netflix subscription has expired. Update your payment method: http://netfIix-secure.com",1,urgent
A wealthy Nigerian prince needs your help transferring $45 million. You will receive 30% for helping.,1,greedy
You're one of the few people I feel comfortable sharing this investment secret with.,1,friendly
Your email was selected in our random prize draw. You've won $500 Amazon gift card. Collect now!,1,greedy
Your order #48291 has shipped and will arrive by Thursday. Track it on our website.,0,neutral
The cafeteria menu for this week is posted on the intranet.,0,neutral
Customs is holding your package. Pay the clearance fee within 12 hours.,1,urgent
Celebrity investment tip: Buy this penny stock before it explodes tomorrow.,1,greedy
Secret shopper job: Earn $300 per assignment. Deposit required to start.,1,greedy
"Just a heads-up, the office will be closed on Monday for the public holiday.",0,neutral
The flu shot clinic is available walk-in at the health center.,0,neutral
The scholarship application deadline is April 1. Submit documents early.,0,neutral
"Congratulations! You have won $1,000,000 in our international lottery. Send your bank details to claim.",1,greedy
Your flight AA 1842 departs at 6:45 AM from Gate B12. Check in online.,0,neutral
The pool will close for cleaning on Wednesday afternoon.,0,neutral
Your child's school picture day is next Thursday.,0,neutral
Your parking permit for Lot C expires at the end of the semester.,0,neutral
The building fire alarm test is scheduled for Friday at 10 AM.,0,neutral
I've been watching your profile and think you're exactly who I need for this opportunity.,1,friendly
Bank of America: Card locked. Unlock at http://bofa-card-unlock.com,1,urgent
The new employee orientation starts at 9 AM in Room 204.,0,neutral
Your Uber account shows unpaid trips. Update billing or lose access permanently.,1,urgent
The project deadline has been moved to next Wednesday. Please update your tasks.,0,neutral
The annual performance review forms are due by end of month.,0,neutral
The webinar recording from yesterday is now available in the learning portal.,0,neutral
FINRA notice: Your brokerage account requires urgent compliance review.,1,urgent
